age;workclass;Income;education;marital status;occupation;gender;hours per week;native country
39;Self-emp-not-inc;327120;HS-grad;Married-civ-spouse;Craft-repair;Male;40;Portugal
32;Private;123253;Assoc-acdm;Married-civ-spouse;Craft-repair;Male;42;United-States
47;Private;232628;HS-grad;Married-civ-spouse;Craft-repair;Male;40;United-States
19;Private;374262;12th;Never-married;Handlers-cleaners;Male;20;United-States
46;Self-emp-not-inc;311231;HS-grad;Married-civ-spouse;Farming-fishing;Male;40;United-States
45;Private;148900;Bachelors;Married-civ-spouse;Prof-specialty;Male;50;United-States
34;Private;118786;Bachelors;Never-married;Sales;Male;20;United-States
38;Self-emp-inc;222532;Prof-school;Never-married;Sales;Female;45;United-States
40;Private;270147;Masters;Never-married;Exec-managerial;Female;40;United-States
47;Private;184005;HS-grad;Divorced;Exec-managerial;Female;45;United-States
35;Private;62333;Bachelors;Never-married;Prof-specialty;Female;40;United-States
23;Private;27073;Some-college;Never-married;Adm-clerical;Female;40;United-States
53;Private;158993;HS-grad;Widowed;Machine-op-inspct;Female;38;United-States
58;Self-emp-not-inc;605504;HS-grad;Married-civ-spouse;Sales;Male;40;United-States
47;Federal-gov;102771;Doctorate;Married-civ-spouse;Prof-specialty;Male;40;United-States
42;State-gov;160369;HS-grad;Never-married;Protective-serv;Male;40;United-States
41;Federal-gov;56236;HS-grad;Divorced;Protective-serv;Male;40;United-States
38;Local-gov;68781;Some-college;Married-civ-spouse;Protective-serv;Male;40;United-States
56;Private;159544;Masters;Married-civ-spouse;Prof-specialty;Male;60;United-States
48;State-gov;212954;Masters;Married-civ-spouse;Prof-specialty;Male;40;United-States
36;Private;199501;Some-college;Divorced;Exec-managerial;Female;38;United-States
40;Private;309311;HS-grad;Married-civ-spouse;Machine-op-inspct;Male;40;United-States
45;Self-emp-not-inc;33234;Bachelors;Married-civ-spouse;Sales;Male;40;United-States
40;State-gov;67874;Masters;Married-civ-spouse;Prof-specialty;Male;58;United-States
33;Private;857532;12th;Never-married;Protective-serv;Male;40;United-States
26;Private;172230;HS-grad;Never-married;Adm-clerical;Male;40;United-States
35;Self-emp-not-inc;153066;HS-grad;Married-civ-spouse;Craft-repair;Male;60;United-States
37;Private;172571;HS-grad;Divorced;Machine-op-inspct;Male;40;United-States
22;Private;216867;7th-8th;Married-civ-spouse;Machine-op-inspct;Male;40;Mexico
57;Private;169329;HS-grad;Married-civ-spouse;Tech-support;Male;40;Trinadad&Tobago
49;Private;34377;12th;Married-civ-spouse;Craft-repair;Male;40;United-States
38;Private;150057;Masters;Married-civ-spouse;Craft-repair;Male;50;Poland
24;Private;88095;Some-college;Never-married;Machine-op-inspct;Female;24;Mexico
27;Private;22422;Some-college;Never-married;Sales;Male;40;United-States
35;Self-emp-not-inc;190387;Bachelors;Married-civ-spouse;Farming-fishing;Male;45;United-States
25;Private;441210;HS-grad;Never-married;Prof-specialty;Male;40;United-States
38;Private;234298;Bachelors;Divorced;Exec-managerial;Male;60;United-States
47;Private;248059;Some-college;Married-civ-spouse;Other-service;Male;47;United-States
53;Private;193720;Some-college;Married-civ-spouse;Exec-managerial;Male;40;United-States
28;Self-emp-not-inc;33363;HS-grad;Married-civ-spouse;Farming-fishing;Male;70;United-States
42;Private;128354;Bachelors;Married-civ-spouse;Adm-clerical;Female;40;United-States
22;Private;141040;HS-grad;Never-married;Sales;Female;35;United-States
29;Private;89598;Bachelors;Married-civ-spouse;Exec-managerial;Female;35;United-States
26;Private;163747;Bachelors;Never-married;Sales;Female;55;United-States
58;Self-emp-inc;174864;HS-grad;Married-civ-spouse;Sales;Male;55;United-States
26;Private;375499;10th;Never-married;Adm-clerical;Male;20;United-States
28;Private;203784;Preschool;Never-married;Farming-fishing;Male;38;Mexico
30;Private;269723;Some-college;Never-married;Sales;Female;45;United-States
37;Local-gov;327120;Some-college;Married-civ-spouse;Transport-moving;Male;30;United-States
50;Private;148431;Masters;Married-civ-spouse;Exec-managerial;Male;55;United-States
24;Private;229826;Bachelors;Never-married;Transport-moving;Male;20;United-States
